"depth","temperature","q_temperature","salinity","q_salinity","sigma_theta","q_sigma_theta","fluorescence","q_fluorescence","oxygen_mll","q_oxygen_mll","oxygen_sat","q_oxygen_sat","par","q_par","oxygen_winkler","q_oxygen_winkler","nh4","q_nh4","no3","q_no3","no2","q_no2","po4","q_po4","sioh4","q_sioh4","poc","q_poc","pon","q_pon","spm","q_spm","ph","q_ph","chla","q_chla","phaeo","q_phaeo","pn","q_pn","delta15n","q_delta15n","pc","q_pc","delta13c","q_delta13c","cn_ratio","q_cn_ratio","date_time"
1,17.77,"2",37.42,"2",27.19,"2",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",1957-05-14 09:00:00
10,15.47,"2",37.84,"2",28.06,"2",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",1957-05-14 09:00:00
20,15.17,"2",37.84,"2",28.13,"2",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",1957-05-14 09:00:00
30,14.8,"2",37.94,"2",28.29,"2",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",1957-05-14 09:00:00
50,13.85,"2",37.95,"2",28.5,"2",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",1957-05-14 09:00:00
75,13.39,"2",38.07,"2",28.69,"2",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",1957-05-14 09:00:00
1,NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",1957-05-21 09:00:00
10,NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",1957-05-21 09:00:00
20,NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",1957-05-21 09:00:00
30,NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",1957-05-21 09:00:00
50,NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",1957-05-21 09:00:00
75,NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",1957-05-21 09:00:00
1,17.97,"2",37.57,"2",27.25,"2",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",1957-05-31 09:00:00
10,16.99,"2",37.79,"2",27.66,"2",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",1957-05-31 09:00:00
20,15.7,"2",37.85,"2",28.01,"2",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",1957-05-31 09:00:00
30,15.7,"2",37.93,"2",28.07,"2",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",1957-05-31 09:00:00
50,14.41,"2",38.02,"2",28.44,"2",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",1957-05-31 09:00:00
75,13.57,"2",38.09,"2",28.67,"2",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",1957-05-31 09:00:00
1,18.07,"2",37.65,"2",27.29,"2",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",1957-06-05 09:00:00
10,16.96,"2",37.75,"2",27.64,"2",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",1957-06-05 09:00:00
20,16.7,"2",37.81,"2",27.75,"2",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",1957-06-05 09:00:00
30,16.37,"2",37.86,"2",27.86,"2",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",1957-06-05 09:00:00
50,14.51,"2",38.03,"2",28.42,"2",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",1957-06-05 09:00:00
75,13.57,"2",38.07,"2",28.66,"2",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",1957-06-05 09:00:00
1,19.24,"2",37.1,"2",26.57,"2",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",1957-06-11 09:00:00
10,18.59,"2",37.61,"2",27.12,"2",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",1957-06-11 09:00:00
20,18.38,"2",37.65,"2",27.21,"2",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",1957-06-11 09:00:00
30,16.5,"2",37.84,"2",27.82,"2",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",NA,"9",1957-06-11 09:00:00
