lineage,taxon,n,conc,level1
living/Eukaryota/Harosa,Harosa,4696,1613.1,Harosa
living/Eukaryota/Harosa/Alveolata/Myzozoa/Holodinophyta/Dinophyceae/Gonyaulacales/Ceratiaceae/Neoceratium,Neoceratium,286,140.9,Harosa
living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria,Phaeodaria,3803,1234.0,Harosa
living/Eukaryota/Harosa/Rhizaria/Retaria/Acantharea,Acantharea,7,1.7,Harosa
living/Eukaryota/Harosa/Rhizaria/Retaria/Foraminifera,Foraminifera,176,87.3,Harosa
living/Eukaryota/Harosa/Rhizaria/Retaria/Polycystinea/Collodaria,Collodaria,378,161.3,Harosa
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Annelida,Annelida,1445,621.1,Annelida
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Annelida/larvae,Annelida > larvae,195,175.7,Annelida > larvae
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Annelida/Polychaeta/Errantia/Tomopteridae,Tomopteridae,2,0.1,Annelida
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Branchiopoda/Diplostraca/Cladocera/Podonidae/Evadne,Evadne,11356,7939.4,Evadne
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Branchiopoda/Diplostraca/Cladocera/Podonidae/Podon,Podon,319,190.0,Podon
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Branchiopoda/Diplostraca/Cladocera/Sididae/Penilia,Penilia,14513,9427.3,Penilia
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Branchiopoda/Diplostraca/Cladocera/Sididae/Penilia/Penilia avirostris,Penilia avirostris,742,398.3,Penilia
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca,Eumalacostraca,10109,2316.9,Eumalacostraca
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Amphipoda,Amphipoda,242,70.8,Amphipoda
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Amphipoda/Gammaridea,Gammaridea,3,0.9,Amphipoda
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Amphipoda/Hyperiidea,Hyperiidea,28,4.1,Amphipoda
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Decapoda/Dendrobranchiata/Penaeoidea/Penaeidae/protozoea,Penaeidae > protozoea,37,19.3,Eumalacostraca
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Decapoda/Dendrobranchiata/Sergestoidea/Sergestidae/protozoea,Sergestidae > protozoea,11,3.9,Eumalacostraca
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Decapoda/Pleocyemata/Anomura/Galatheidae/zoea,Galatheidae > zoea,275,81.5,Eumalacostraca
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Decapoda/Pleocyemata/Anomura/Porcellanidae/larvae,Porcellanidae > larvae,49,4.9,Eumalacostraca
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Decapoda/Pleocyemata/Brachyura/megalopa,megalopa,54,6.3,Eumalacostraca
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Decapoda/Pleocyemata/Brachyura/zoea,Brachyura > zoea,167,62.8,Eumalacostraca
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Decapoda/Pleocyemata/Gebiidea/Laomediidae/like,like,1,0.2,
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Euphausiacea/calyptopsis,calyptopsis,2478,2011.2,Eumalacostraca
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Mysida/protozoea,Mysida > protozoea,42,8.3,Eumalacostraca
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Hoplocarida/Stomatopoda/Squillidae/larvae,Squillidae > larvae,65,5.2,Squillidae > larvae
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda,Copepoda,234942,247088.3,Copepoda
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/Calanoida,Calanoida,165110,181983.7,Copepoda
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/Calanoida/Acartiidae,Acartiidae,13945,23945.6,Copepoda
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/Calanoida/Augaptilidae/Haloptilus,Haloptilus,21,4.7,Copepoda
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/Calanoida/Calanidae,Calanidae,6831,1801.6,Copepoda
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/Calanoida/Candaciidae,Candaciidae,3092,703.8,Copepoda
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/Calanoida/Centropagidae,Centropagidae,11938,18172.7,Copepoda
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/Calanoida/Eucalanidae,Eucalanidae,20,5.3,Copepoda
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/Calanoida/Euchaetidae,Euchaetidae,205,44.1,Copepoda
